"individual","mode","choice","wait","vcost","travel","gcost","income","size"
"27","air",1,80,75,110,87,45,1
"27","train",0,34,70,638,140,45,1
"27","bus",0,35,31,632,100,45,1
"27","car",0,0,39,581,102,45,1
"28","air",1,45,85,140,106,18,2
"28","train",0,44,39,664,139,18,2
"28","bus",0,53,35,658,135,18,2
"28","car",0,0,19,592,109,18,2
"29","air",0,64,74,179,101,8,2
"29","train",1,60,43,320,91,8,2
"29","bus",0,53,21,345,74,8,2
"29","car",0,0,9,321,58,8,2
"30","air",0,69,59,100,70,6,1
"30","train",1,2,11,285,42,6,1
"30","bus",0,35,13,417,58,6,1
"30","car",0,0,13,284,44,6,1
"31","air",0,69,59,101,70,20,1
"31","train",1,5,17,300,50,20,1
"31","bus",0,35,25,420,70,20,1
"31","car",0,0,13,297,45,20,1
"32","air",0,69,64,90,73,45,1
"32","train",1,15,32,325,67,45,1
"32","bus",0,35,29,405,73,45,1
"32","car",0,0,18,327,54,45,1
"33","air",0,64,59,73,70,70,2
"33","train",1,45,29,290,73,70,2
"33","bus",0,53,26,395,86,70,2
"33","car",0,0,9,314,57,70,2
"34","air",0,69,62,66,70,4,1
"34","train",1,10,31,295,63,4,1
"34","bus",0,35,19,397,62,4,1
"34","car",0,0,17,307,50,4,1
"35","air",0,69,60,132,75,40,1
"35","train",1,15,15,330,50,40,1
"35","bus",0,35,26,373,67,40,1
"35","car",0,0,12,309,46,40,1
"36","air",0,69,60,117,73,35,1
"36","train",1,10,23,325,58,35,1
"36","bus",0,35,25,425,71,35,1
"36","car",0,0,17,307,50,35,1
"37","air",0,64,62,184,90,40,2
"37","train",1,45,24,360,79,40,2
"37","bus",0,53,28,464,98,40,2
"37","car",0,0,11,427,76,40,2
"38","air",0,64,50,67,60,4,3
"38","train",1,30,31,265,71,4,3
"38","bus",0,53,14,393,73,4,3
"38","car",0,0,6,308,53,4,3
"39","air",0,64,48,154,71,15,4
"39","train",1,55,25,360,80,15,4
"39","bus",0,53,14,462,84,15,4
"39","car",0,0,4,351,57,15,4
"40","air",1,30,147,100,158,26,1
"40","train",0,34,96,678,169,26,1
"40","bus",0,35,57,672,130,26,1
"40","car",0,0,28,629,96,26,1
"41","air",1,75,125,110,137,26,1
"41","train",0,34,70,596,135,26,1
"41","bus",0,35,31,590,95,26,1
"41","car",0,0,24,577,87,26,1
"42","air",1,40,152,95,162,70,1
"42","train",0,34,73,600,138,70,1
"42","bus",0,35,34,594,98,70,1
"42","car",0,0,24,587,88,70,1
"43","air",1,30,116,180,136,70,1
"43","train",0,34,71,657,142,70,1
"43","bus",0,35,32,651,102,70,1
"43","car",0,0,29,629,97,70,1
"44","air",1,40,100,105,116,45,2
"44","train",0,44,70,622,165,45,2
"44","bus",0,53,31,616,125,45,2
"44","car",0,0,17,577,105,45,2
"45","air",1,45,105,115,122,8,2
"45","train",0,44,35,622,130,8,2
"45","bus",0,53,31,616,125,8,2
"45","car",0,0,12,577,100,8,2
"46","air",1,20,106,190,127,70,1
"46","train",0,34,72,659,143,70,1
"46","bus",0,35,33,653,104,70,1
"46","car",0,0,44,592,108,70,1
"47","air",1,60,90,100,105,26,2
"47","train",0,44,69,596,160,26,2
"47","bus",0,53,30,590,120,26,2
"47","car",0,0,13,577,101,26,2
"48","air",1,40,48,115,60,50,1
"48","train",0,34,31,365,70,50,1
"48","bus",0,35,25,410,69,50,1
"48","car",0,0,16,308,49,50,1
"49","air",1,50,69,85,82,10,3
"49","train",0,44,16,344,68,10,3
"49","bus",0,53,13,389,72,10,3
"49","car",0,0,4,315,52,10,3
"50","air",1,75,99,135,114,30,1
"50","train",0,34,96,678,169,30,1
"50","bus",0,35,57,672,130,30,1
"50","car",0,0,29,629,97,30,1
"51","air",1,90,64,155,88,60,2
"51","train",0,44,74,678,177,60,2
"51","bus",0,53,35,672,137,60,2
"51","car",0,0,20,629,115,60,2
"52","air",1,85,105,85,118,30,4
"52","train",0,44,56,665,156,30,4
"52","bus",0,53,35,659,135,30,4
"52","car",0,0,8,587,97,30,4
"53","air",0,69,60,123,73,30,1
"53","train",1,15,24,365,64,30,1
"53","bus",0,35,25,430,71,30,1
"53","car",0,0,13,332,49,30,1
"54","air",0,64,58,90,72,50,2
"54","train",1,30,22,340,74,50,2
"54","bus",0,53,25,417,88,50,2
"54","car",0,0,9,334,60,50,2
"55","air",0,64,45,73,56,6,4
"55","train",1,15,22,290,66,6,4
"55","bus",0,53,13,395,73,6,4
"55","car",0,0,5,314,53,6,4
"56","air",0,69,108,170,126,30,1
"56","train",1,30,31,875,126,30,1
"56","bus",0,35,44,887,140,30,1
"56","car",0,0,50,884,146,30,1
"57","air",0,69,110,249,137,12,1
"57","train",1,45,22,890,119,12,1
"57","bus",0,35,47,955,151,12,1
"57","car",0,0,38,990,146,12,1
"58","air",0,64,115,138,136,36,2
"58","train",1,10,44,830,170,36,2
"58","bus",0,53,50,869,182,36,2
"58","car",0,0,18,862,149,36,2
"59","air",0,69,117,147,133,30,1
"59","train",1,40,59,790,145,30,1
"59","bus",0,35,48,885,144,30,1
"59","car",0,0,38,883,134,30,1
"60","air",0,64,88,119,106,35,3
"60","train",1,50,78,775,196,35,3
"60","bus",0,53,43,840,170,35,3
"60","car",0,0,16,855,146,35,3
"61","air",0,69,105,196,126,6,1
"61","train",1,40,43,895,140,6,1
"61","bus",0,35,44,919,144,6,1
"61","car",0,0,50,935,152,6,1
"62","air",0,64,120,333,170,6,1
"62","train",1,25,28,870,160,6,1
"62","bus",0,53,52,890,187,6,1
"62","car",0,0,38,921,178,6,1
"63","air",0,64,103,146,125,8,2
"63","train",1,25,36,875,169,8,2
"63","bus",0,53,43,943,186,8,2
"63","car",0,0,19,887,154,8,2
"64","air",0,69,103,138,118,6,1
"64","train",1,5,22,800,109,6,1
"64","bus",0,35,43,821,132,6,1
"64","car",0,0,36,846,128,6,1
"65","air",0,64,116,164,141,12,2
"65","train",1,75,89,685,193,12,2
"65","bus",0,53,47,875,180,12,2
"65","car",0,0,19,874,152,12,2
"66","air",0,69,103,129,117,30,1
"66","train",0,34,88,925,189,30,1
"66","bus",1,10,30,790,116,30,1
"66","car",0,0,50,887,146,30,1
"67","air",0,64,109,230,144,35,2
"67","train",0,44,101,1104,269,35,2
"67","bus",0,53,56,1094,222,35,2
"67","car",1,0,26,960,172,35,2
"68","air",0,69,108,177,127,35,1
"68","train",0,34,92,907,191,35,1
"68","bus",1,45,39,850,131,35,1
"68","car",0,0,52,865,146,35,1
"69","air",0,64,92,161,117,60,3
"69","train",1,40,73,792,193,60,3
"69","bus",0,53,46,920,186,60,3
"69","car",0,0,16,887,151,60,3
"70","air",0,64,119,161,143,60,2
"70","train",1,45,75,765,191,60,2
"70","bus",0,53,51,869,182,60,2
"70","car",0,0,19,898,155,60,2
"71","air",0,64,109,190,138,12,2
"71","train",1,40,24,399,85,12,2
"71","bus",0,53,46,951,190,12,2
"71","car",0,0,27,897,163,12,2
"72","air",0,69,111,108,122,10,1
"72","train",1,30,30,760,113,10,1
"72","bus",0,35,50,867,144,10,1
"72","car",0,0,47,844,139,10,1
"73","air",0,69,104,246,131,10,1
"73","train",1,25,23,830,113,10,1
"73","bus",0,35,45,1068,161,10,1
"73","car",0,0,41,978,147,10,1
"74","air",0,69,104,200,126,15,1
"74","train",1,75,23,835,114,15,1
"74","bus",0,35,43,846,135,15,1
"74","car",0,0,40,927,141,15,1
"75","air",0,64,124,160,148,10,2
"75","train",1,30,82,850,211,10,2
"75","bus",0,53,54,893,189,10,2
"75","car",0,0,19,886,153,10,2
"76","air",0,64,103,145,125,8,1
"76","train",1,50,73,840,200,8,1
"76","bus",0,53,43,892,178,8,1
"76","car",0,0,50,894,186,8,1
"77","air",0,69,103,125,116,30,1
"77","train",1,30,80,800,167,30,1
"77","bus",0,35,42,844,134,30,1
"77","car",0,0,38,861,132,30,1
"78","air",0,64,113,163,137,20,2
"78","train",0,44,51,948,195,20,2
"78","bus",0,53,49,938,191,20,2
"78","car",1,0,26,720,135,20,2
"79","air",0,64,76,147,98,70,5
"79","train",0,44,63,918,203,70,5
"79","bus",0,53,44,908,182,70,5
"79","car",1,0,10,1440,228,70,5
"80","air",0,69,108,163,125,20,1
"80","train",0,34,89,905,187,20,1
"80","bus",1,30,43,785,128,20,1
"80","car",0,0,35,879,130,20,1
"81","air",0,69,127,193,148,60,1
"81","train",0,34,109,888,205,60,1
"81","bus",1,60,52,1025,163,60,1
"81","car",0,0,50,892,147,60,1
"82","air",0,64,44,100,59,70,4
"82","train",0,44,25,351,78,70,4
"82","bus",0,53,20,361,75,70,4
"82","car",1,0,5,180,32,70,4
"83","air",0,69,59,98,69,8,1
"83","train",1,1,11,320,46,8,1
"83","bus",0,35,13,413,57,8,1
"83","car",0,0,17,332,53,8,1
"84","air",0,69,59,114,72,30,1
"84","train",1,25,60,337,97,30,1
"84","bus",0,35,25,423,71,30,1
"84","car",0,0,8,335,44,30,1
"85","air",1,25,65,140,86,70,2
"85","train",0,44,69,596,160,70,2
"85","bus",0,53,30,590,120,70,2
"85","car",0,0,16,577,104,70,2
"86","air",0,69,60,67,67,60,1
"86","train",1,10,37,285,68,60,1
"86","bus",0,35,28,400,72,60,1
"86","car",0,0,14,320,49,60,1
"87","air",0,64,59,118,77,20,2
"87","train",0,44,17,349,70,20,2
"87","bus",0,53,14,359,68,20,2
"87","car",1,0,5,240,41,20,2
"88","air",0,69,61,72,69,15,1
"88","train",1,10,18,305,51,15,1
"88","bus",0,35,27,396,70,15,1
"88","car",0,0,12,332,48,15,1
"89","air",0,64,59,118,77,30,2
"89","train",0,44,32,349,85,30,2
"89","bus",0,53,26,359,80,30,2
"89","car",1,0,6,265,46,30,2
"90","air",0,64,60,74,71,26,2
"90","train",1,20,40,262,80,26,2
"90","bus",0,53,26,389,85,26,2
"90","car",0,0,10,315,58,26,2
"91","air",0,64,44,93,58,35,4
"91","train",1,20,30,291,74,35,4
"91","bus",0,53,19,346,72,35,4
"91","car",0,0,4,316,52,35,4
"92","air",0,69,58,124,71,12,1
"92","train",1,10,30,340,67,12,1
"92","bus",0,35,25,427,71,12,1
"92","car",0,0,14,364,54,12,1
"93","air",0,64,84,108,100,70,2
"93","train",0,44,70,596,160,70,2
"93","bus",0,53,31,590,120,70,2
"93","car",1,0,15,360,70,70,2
"94","air",1,30,145,90,158,50,1
"94","train",0,44,31,343,83,50,1
"94","bus",0,53,25,388,84,50,1
"94","car",0,0,13,296,58,50,1
"95","air",1,45,121,100,136,40,2
"95","train",0,44,92,926,233,40,2
"95","bus",0,53,47,916,186,40,2
"95","car",0,0,20,885,154,40,2
"96","air",1,30,84,180,103,70,1
"96","train",0,34,72,707,149,70,1
"96","bus",0,35,33,701,109,70,1
"96","car",0,0,26,626,94,70,1
"97","air",0,69,61,146,77,10,1
"97","train",0,34,17,409,61,10,1
"97","bus",1,5,31,300,64,10,1
"97","car",0,0,13,350,51,10,1
"98","air",1,45,180,160,197,26,1
"98","train",0,34,89,985,196,26,1
"98","bus",0,35,44,975,150,26,1
"98","car",0,0,39,896,136,26,1
"99","air",0,64,94,231,129,50,3
"99","train",0,44,79,949,223,50,3
"99","bus",1,40,32,1110,201,50,3
"99","car",0,0,13,942,156,50,3
"100","air",0,64,92,203,123,70,3
"100","train",0,44,77,961,223,70,3
"100","bus",0,53,46,951,190,70,3
"100","car",1,0,17,780,135,70,3
"101","air",0,69,59,111,71,30,1
"101","train",0,34,31,376,72,30,1
"101","bus",1,15,25,360,64,30,1
"101","car",0,0,23,351,61,30,1
"102","air",0,64,75,153,99,50,5
"102","train",0,44,64,900,201,50,5
"102","bus",0,53,45,890,180,50,5
"102","car",1,0,13,720,122,50,5
"103","air",0,69,58,99,68,20,1
"103","train",0,34,16,366,55,20,1
"103","bus",0,35,13,411,57,20,1
"103","car",1,0,13,300,46,20,1
"104","air",0,64,110,153,133,32,2
"104","train",0,44,91,874,223,32,2
"104","bus",0,53,46,864,177,32,2
"104","car",1,0,21,960,167,32,2
"105","air",0,64,108,187,136,27,2
"105","train",0,44,90,932,231,27,2
"105","bus",0,53,45,922,185,27,2
"105","car",1,0,20,1440,238,27,2
"106","air",0,69,104,179,123,30,1
"106","train",0,34,89,978,195,30,1
"106","bus",1,30,28,795,114,30,1
"106","car",0,0,40,904,138,30,1
"107","air",0,69,108,180,128,35,1
"107","train",0,34,89,901,187,35,1
"107","bus",0,35,44,891,141,35,1
"107","car",1,0,34,720,112,35,1
"108","air",0,64,78,146,100,40,4
"108","train",0,44,66,903,203,40,4
"108","bus",0,53,43,893,178,40,4
"108","car",1,0,11,870,143,40,4
"109","air",0,64,60,144,82,60,2
"109","train",0,44,32,404,93,60,2
"109","bus",0,53,26,449,94,60,2
"109","car",1,0,8,270,49,60,2
"110","air",0,64,78,175,105,40,4
"110","train",0,44,67,932,208,40,4
"110","bus",0,53,44,922,183,40,4
"110","car",1,0,12,720,121,40,4
"111","air",0,69,67,108,79,70,1
"111","train",0,34,38,370,78,70,1
"111","bus",0,35,32,415,77,70,1
"111","car",1,0,12,240,38,70,1
"112","air",0,64,108,200,139,70,2
"112","train",0,44,90,944,234,70,2
"112","bus",0,53,45,934,187,70,2
"112","car",1,0,19,720,128,70,2
"113","air",1,60,108,80,120,30,2
"113","train",0,44,32,344,84,30,2
"113","bus",0,53,26,389,85,30,2
"113","car",0,0,7,315,55,30,2
"114","air",1,30,58,90,72,35,2
"114","train",0,44,32,506,109,35,2
"114","bus",0,53,26,551,110,35,2
"114","car",0,0,8,402,69,35,2
"115","air",1,55,69,115,81,60,1
"115","train",0,34,43,392,85,60,1
"115","bus",0,35,37,437,84,60,1
"115","car",0,0,13,268,42,60,1
"116","air",1,40,66,105,77,45,1
"116","train",0,34,31,372,71,45,1
"116","bus",0,35,25,417,70,45,1
"116","car",0,0,18,327,54,45,1
"117","air",0,69,57,67,65,45,1
"117","train",0,34,31,355,69,45,1
"117","bus",1,40,18,245,45,45,1
"117","car",0,0,13,320,48,45,1
"118","air",0,69,129,185,149,6,1
"118","train",0,34,67,933,168,6,1
"118","bus",1,20,54,820,143,6,1
"118","car",0,0,38,894,135,6,1
"119","air",1,90,151,95,161,36,1
"119","train",0,34,96,895,193,36,1
"119","bus",0,35,51,885,147,36,1
"119","car",0,0,35,844,127,36,1
"120","air",1,10,70,85,80,20,1
"120","train",0,34,34,351,72,20,1
"120","bus",0,35,28,396,71,20,1
"120","car",0,0,22,307,55,20,1
"121","air",1,25,75,100,90,20,2
"121","train",0,44,15,348,68,20,2
"121","bus",0,53,12,393,72,20,2
"121","car",0,0,7,290,51,20,2
"122","air",1,99,110,260,138,26,1
"122","train",0,34,92,934,193,26,1
"122","bus",0,35,47,924,147,26,1
"122","car",0,0,45,816,134,26,1
"123","air",1,30,94,195,115,29,1
"123","train",0,34,89,943,191,29,1
"123","bus",0,35,44,933,145,29,1
"123","car",0,0,58,912,157,29,1
"124","air",1,35,95,155,119,8,2
"124","train",0,44,45,930,186,8,2
"124","bus",0,53,43,920,183,8,2
"124","car",0,0,23,860,153,8,2
"125","air",0,69,104,178,123,32,1
"125","train",0,34,89,992,197,32,1
"125","bus",1,15,38,675,111,32,1
"125","car",0,0,39,900,137,32,1
"126","air",0,64,103,170,129,45,2
"126","train",0,44,88,889,222,45,2
"126","bus",1,30,35,770,152,45,2
"126","car",0,0,18,905,155,45,2
"127","air",0,64,86,167,112,45,3
"127","train",0,44,75,972,222,45,3
"127","bus",0,53,44,962,190,45,3
"127","car",1,0,13,870,145,45,3
"128","air",0,64,108,139,129,26,2
"128","train",0,44,90,862,220,26,2
"128","bus",1,30,36,780,154,26,2
"128","car",0,0,18,875,151,26,2
"129","air",0,69,59,106,71,60,1
"129","train",0,34,31,372,71,60,1
"129","bus",0,35,25,417,70,60,1
"129","car",1,0,13,300,46,60,1
"130","air",0,64,58,124,77,10,2
"130","train",1,10,35,380,92,10,2
"130","bus",0,53,13,427,78,10,2
"130","car",0,0,8,364,63,10,2
"131","air",0,64,107,153,131,45,2
"131","train",0,44,89,880,222,45,2
"131","bus",0,53,44,870,176,45,2
"131","car",1,0,2,660,102,45,2
"132","air",0,64,86,143,108,60,3
"132","train",0,44,74,880,207,60,3
"132","bus",0,53,43,870,175,60,3
"132","car",1,0,16,660,116,60,3
"133","air",0,69,108,196,129,60,1
"133","train",0,34,91,967,196,60,1
"133","bus",1,15,35,935,136,60,1
"133","car",0,0,38,903,136,60,1
"134","air",0,69,103,149,119,8,1
"134","train",0,34,45,892,142,8,1
"134","bus",1,25,25,730,104,8,1
"134","car",0,0,37,882,133,8,1
"135","air",0,64,103,160,127,60,2
"135","train",0,44,89,987,239,60,2
"135","bus",0,53,44,977,192,60,2
"135","car",1,0,34,660,134,60,2
"136","air",0,64,114,161,138,12,2
"136","train",0,44,60,1031,217,12,2
"136","bus",0,53,58,1021,213,12,2
"136","car",1,0,19,720,128,12,2
"137","air",0,69,107,150,123,45,1
"137","train",0,34,91,914,190,45,1
"137","bus",0,35,46,904,144,45,1
"137","car",1,0,36,750,117,45,1
"138","air",0,69,118,137,132,50,1
"138","train",0,34,96,904,194,50,1
"138","bus",1,5,65,850,157,50,1
"138","car",0,0,64,859,157,50,1
"139","air",0,69,102,101,113,26,1
"139","train",0,34,87,870,182,26,1
"139","bus",1,45,35,800,122,26,1
"139","car",0,0,35,825,125,26,1
"140","air",0,64,85,101,101,35,3
"140","train",0,44,73,870,205,35,3
"140","bus",0,53,42,860,173,35,3
"140","car",1,0,12,600,103,35,3
"141","air",0,69,107,158,125,12,1
"141","train",1,30,61,780,146,12,1
"141","bus",0,35,45,901,143,12,1
"141","car",0,0,54,853,147,12,1
"142","air",0,69,113,244,140,15,1
"142","train",1,30,67,845,158,15,1
"142","bus",0,35,49,893,146,15,1
"142","car",0,0,47,868,141,15,1
"143","air",0,64,84,215,117,12,4
"143","train",1,99,37,885,171,12,4
"143","bus",0,53,46,966,193,12,4
"143","car",0,0,10,921,150,12,4
"144","air",0,64,94,163,119,35,3
"144","train",1,25,68,755,183,35,3
"144","bus",0,53,47,895,183,35,3
"144","car",0,0,16,879,149,35,3
"145","air",0,69,112,161,129,26,1
"145","train",1,15,21,797,108,26,1
"145","bus",0,35,45,876,140,26,1
"145","car",0,0,47,852,140,26,1
"146","air",0,69,103,166,121,6,1
"146","train",1,45,20,820,109,6,1
"146","bus",0,35,43,836,134,6,1
"146","car",0,0,35,886,131,6,1
"147","air",0,69,107,152,124,4,1
"147","train",1,30,33,755,115,4,1
"147","bus",0,35,44,882,140,4,1
"147","car",0,0,48,845,140,4,1
"148","air",0,64,103,164,128,40,2
"148","train",1,10,41,730,152,40,2
"148","bus",0,53,43,925,183,40,2
"148","car",0,0,19,898,155,40,2
"149","air",0,64,143,166,168,40,1
"149","train",1,10,83,825,208,40,1
"149","bus",0,53,70,896,206,40,1
"149","car",0,0,50,911,188,40,1
"150","air",1,45,94,270,123,60,1
"150","train",0,34,91,916,190,60,1
"150","bus",0,35,46,906,144,60,1
"150","car",0,0,49,872,144,60,1
"151","air",1,45,138,115,150,4,1
"151","train",0,34,60,880,156,4,1
"151","bus",0,35,58,870,153,4,1
"151","car",0,0,47,888,143,4,1
"152","air",1,60,102,250,129,50,1
"152","train",0,34,112,997,220,50,1
"152","bus",0,35,67,952,170,50,1
"152","car",0,0,43,971,148,50,1
"153","air",1,60,151,255,190,60,2
"153","train",0,44,91,941,234,60,2
"153","bus",0,53,46,931,187,60,2
"153","car",0,0,21,959,166,60,2
"154","air",1,60,111,205,133,70,1
"154","train",0,34,97,888,193,70,1
"154","bus",0,35,52,878,147,70,1
"154","car",0,0,49,855,142,70,1
"155","air",1,60,70,95,93,40,2
"155","train",0,44,31,360,85,40,2
"155","bus",0,53,25,405,86,40,2
"155","car",0,0,7,335,58,40,2
"156","air",1,45,74,70,85,35,3
"156","train",0,44,26,361,81,35,3
"156","bus",0,53,21,406,82,35,3
"156","car",0,0,4,315,52,35,3
"157","air",1,75,165,180,192,60,2
"157","train",0,44,98,967,245,60,2
"157","bus",0,53,53,922,193,60,2
"157","car",0,0,26,947,170,60,2
"158","air",1,30,93,175,112,60,1
"158","train",0,34,96,1030,208,60,1
"158","bus",0,35,51,1020,162,60,1
"158","car",0,0,54,967,159,60,1
"159","air",1,90,71,115,89,50,2
"159","train",0,44,31,385,89,50,2
"159","bus",0,53,25,430,90,50,2
"159","car",0,0,7,332,57,50,2
"160","air",1,45,75,75,96,40,3
"160","train",0,44,33,418,96,40,3
"160","bus",0,53,28,463,98,40,3
"160","car",0,0,5,291,49,40,3
"161","air",1,60,81,70,89,60,1
"161","train",0,34,32,341,69,60,1
"161","bus",0,35,26,386,68,60,1
"161","car",0,0,13,307,46,60,1
"162","air",1,75,94,95,104,20,1
"162","train",0,34,33,367,73,20,1
"162","bus",0,35,27,412,72,20,1
"162","car",0,0,14,314,48,20,1
"163","air",0,64,70,158,93,50,3
"163","train",0,44,61,778,179,50,3
"163","bus",0,53,34,772,151,50,3
"163","car",1,0,11,470,82,50,3
"164","air",0,64,65,145,87,70,4
"164","train",0,44,54,674,156,70,4
"164","bus",0,53,33,668,135,70,4
"164","car",1,0,8,560,93,70,4
"165","air",0,64,71,133,91,50,3
"165","train",0,44,59,625,153,50,3
"165","bus",0,53,32,619,126,50,3
"165","car",1,0,8,510,85,50,3
"166","air",0,69,81,139,96,26,1
"166","train",0,34,71,698,147,26,1
"166","bus",0,35,32,692,107,26,1
"166","car",1,0,33,600,98,26,1
"167","air",0,64,65,154,89,45,4
"167","train",0,44,53,621,147,45,4
"167","bus",0,53,32,615,125,45,4
"167","car",1,0,9,535,90,45,4
"168","air",0,64,58,148,80,45,6
"168","train",0,44,48,646,145,45,6
"168","bus",0,53,32,640,129,45,6
"168","car",1,0,5,470,76,45,6
"169","air",0,69,81,95,91,30,1
"169","train",0,34,70,610,136,30,1
"169","bus",0,35,31,604,96,30,1
"169","car",1,0,30,440,78,30,1
"170","air",0,64,71,145,93,40,3
"170","train",0,44,59,658,159,40,3
"170","bus",0,53,32,652,131,40,3
"170","car",1,0,10,590,100,40,3
"171","air",0,64,82,159,106,50,2
"171","train",0,44,71,765,187,50,2
"171","bus",0,53,32,759,147,50,2
"171","car",1,0,13,490,87,50,2
"172","air",0,69,61,73,69,35,1
"172","train",0,34,33,350,71,35,1
"172","bus",1,50,26,227,51,35,1
"172","car",0,0,14,314,48,35,1
"173","air",0,69,60,133,74,34,1
"173","train",0,34,31,397,74,34,1
"173","bus",1,15,21,240,47,34,1
"173","car",0,0,14,351,52,34,1
"174","air",0,64,81,129,101,8,2
"174","train",0,44,35,677,138,8,2
"174","bus",1,15,31,565,117,8,2
"174","car",0,0,12,588,101,8,2
"175","air",0,69,59,117,72,30,1
"175","train",0,34,32,397,75,30,1
"175","bus",0,35,26,442,74,30,1
"175","car",1,0,17,180,37,30,1
"176","air",0,69,111,276,141,32,1
"176","train",0,34,93,1047,207,32,1
"176","bus",1,30,35,860,128,32,1
"176","car",0,0,42,1008,151,32,1
"177","air",0,69,59,88,68,26,1
"177","train",0,34,30,361,70,26,1
"177","bus",1,15,21,295,53,26,1
"177","car",0,0,13,299,45,26,1
"178","air",0,69,59,114,71,42,1
"178","train",0,34,31,389,73,42,1
"178","bus",1,15,21,243,47,42,1
"178","car",0,0,13,334,49,42,1
"179","air",1,90,55,115,72,50,1
"179","train",0,44,72,602,163,50,1
"179","bus",0,53,33,596,123,50,1
"179","car",0,0,24,589,113,50,1
"180","air",1,15,87,110,104,70,2
"180","train",0,44,31,348,84,70,2
"180","bus",0,53,25,393,85,70,2
"180","car",0,0,7,320,56,70,2
"181","air",0,69,62,76,71,30,1
"181","train",0,34,39,377,80,30,1
"181","bus",0,35,33,422,79,30,1
